"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"","","sequential-priming","103","348606","0.0-3.0-100.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-230-131-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-230-131-N.png","gun_13.png"
"","","sequential-priming","104","351527","0.0-3.0-101.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-257-161-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-257-161-N.png","gun_14.png"
"","","sequential-priming","105","354448","0.0-3.0-102.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-040-022-N.png"",""./GrayNonguns/keys_3.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-040-022-N.png","keys_3.png"
"","","sequential-priming","106","357366","0.0-3.0-103.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-233-106-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-233-106-N.png","gun_20.png"
"","","sequential-priming","107","360283","0.0-3.0-104.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-001-0140-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-001-0140-N.png","gun_2.png"
"","","sequential-priming","108","363200","0.0-3.0-105.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-253-119-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-253-119-N.png","tool_2.png"
"","","sequential-priming","109","366119","0.0-3.0-106.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-206-045-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-206-045-N.png","gun_3.png"
"","","sequential-priming","110","369036","0.0-3.0-107.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-256-138-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-256-138-N.png","gun_16.png"
"","","sequential-priming","111","371953","0.0-3.0-108.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-212-097-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-212-097-N.png","tool_7.png"
"","","sequential-priming","112","374869","0.0-3.0-109.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-232-070-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-232-070-N.png","wallet_8.png"
"","","sequential-priming","113","377786","0.0-3.0-110.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-014-002-N*.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-014-002-N*.png","gun_1.png"
"","","sequential-priming","114","380704","0.0-3.0-111.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-249-239-N.png"",""./GrayNonguns/tool_6.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-249-239-N.png","tool_6.png"
"","","sequential-priming","115","383622","0.0-3.0-112.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-009-002-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-009-002-N.png","gun_14.png"
