"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"2031","32","text","0","2034","0.0-0.0","-4","1492039020122","i","e","NO GUN","GUN","","","","","","",""
"2835","32","text","1","5873","0.0-1.0","-4","1492039020122","i","e","NO GUN","GUN","","","","","","",""
"","","sequential-priming","2","9896","0.0-2.0","-4","1492039020122","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","","",""
"431","73","sequential-priming","3","12738","0.0-3.0-0.0","-4","1492039020122","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-036-031-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","831","true","high","gun","SHINEd_Hi_WM-036-031-N.png","gun_20.png"
"820","73","sequential-priming","4","15965","0.0-3.0-1.0","-4","1492039020122","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-003-002-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","1220","false","high","nogun","SHINEd_Hi_WM-003-002-N.png","keys_6.png"
"","","sequential-priming","5","18885","0.0-3.0-2.0","-4","1492039020122","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-208-068-N.png"",""./GrayNonguns/tool_3.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-208-068-N.png","tool_3.png"
"","","sequential-priming","6","21806","0.0-3.0-3.0","-4","1492039020122","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-033-025-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-033-025-N.png","tool_2.png"
"","","sequential-priming","7","24735","0.0-3.0-4.0","-4","1492039020122","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-242-011-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-242-011-N.png","tool_7.png"
