"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","constrast","obj_type","face_id","obj_id","rt_from_start","correct"
"","","sequential-priming","21","76048","0.0-3.0-18.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-001-0140-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-001-0140-N.png","gun_10.png","",""
"","","sequential-priming","22","78967","0.0-3.0-19.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-231-112-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-231-112-N.png","gun_7.png","",""
"","","sequential-priming","23","81884","0.0-3.0-20.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-013-001-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-013-001-N.png","gun_3.png","",""
"","","sequential-priming","24","84800","0.0-3.0-21.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-230-131-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-230-131-N.png","gun_4.png","",""
"","","sequential-priming","25","87717","0.0-3.0-22.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-019-003-N.png"",""./GrayNonguns/cell_7.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-019-003-N.png","cell_7.png","",""
"","","sequential-priming","26","90633","0.0-3.0-23.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-034-030-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-034-030-N.png","gun_15.png","",""
"","","sequential-priming","27","93546","0.0-3.0-24.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-213-076-N.png"",""./GrayNonguns/keys_8.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-213-076-N.png","keys_8.png","",""
"","","sequential-priming","28","96461","0.0-3.0-25.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-002-009-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-002-009-N.png","gun_16.png","",""
"","","sequential-priming","29","99375","0.0-3.0-26.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-222-057-N.png"",""./GrayGuns/gun_18.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-222-057-N.png","gun_18.png","",""
"","","sequential-priming","30","102289","0.0-3.0-27.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-041-021-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-041-021-N.png","gun_8.png","",""
"","","sequential-priming","31","105200","0.0-3.0-28.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-256-138-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-256-138-N.png","gun_7.png","",""
"","","sequential-priming","32","108115","0.0-3.0-29.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-012-001-N.png"",""./GrayNonguns/tool_6.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-012-001-N.png","tool_6.png","",""
"","","sequential-priming","33","111030","0.0-3.0-30.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-033-025-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-033-025-N.png","wallet_8.png","",""
"","","sequential-priming","34","113946","0.0-3.0-31.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-253-119-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-253-119-N.png","gun_2.png","",""
"","","sequential-priming","35","116863","0.0-3.0-32.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-222-057-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-222-057-N.png","wallet_3.png","",""
"","","sequential-priming","36","119777","0.0-3.0-33.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-243-107-N.png"",""./GrayNonguns/cell_7.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-243-107-N.png","cell_7.png","",""
"","","sequential-priming","37","122692","0.0-3.0-34.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-257-161-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-257-161-N.png","gun_20.png","",""
"","","sequential-priming","38","125608","0.0-3.0-35.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-039-018-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-039-018-N.png","gun_1.png","",""
"","","sequential-priming","39","128523","0.0-3.0-36.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-010-001-N.png"",""./GrayNonguns/tool_8.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-010-001-N.png","tool_8.png","",""
"","","sequential-priming","40","131440","0.0-3.0-37.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-004-010-N.png"",""./GrayNonguns/tool_4.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-004-010-N.png","tool_4.png","",""
"","","sequential-priming","41","134354","0.0-3.0-38.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-032-001-N.png"",""./GrayNonguns/keys_2.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-032-001-N.png","keys_2.png","",""
"","","sequential-priming","42","137268","0.0-3.0-39.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-003-002-N.png"",""./GrayNonguns/tool_5.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-003-002-N.png","tool_5.png","",""
"","","sequential-priming","43","140186","0.0-3.0-40.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-242-011-N.png"",""./GrayNonguns/wallet_6.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-242-011-N.png","wallet_6.png","",""
"","","sequential-priming","44","143101","0.0-3.0-41.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-035-032-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-035-032-N.png","gun_6.png","",""
"","","sequential-priming","45","146017","0.0-3.0-42.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-002-009-N.png"",""./GrayGuns/gun_12.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-002-009-N.png","gun_12.png","",""
"","","sequential-priming","46","148933","0.0-3.0-43.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-225-127-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-225-127-N.png","gun_2.png","",""
"","","sequential-priming","47","151847","0.0-3.0-44.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-029-023-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-029-023-N.png","gun_16.png","",""
"","","sequential-priming","48","154765","0.0-3.0-45.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-031-003-N.png"",""./GrayNonguns/wallet_1.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-031-003-N.png","wallet_1.png","",""
"","","sequential-priming","49","157680","0.0-3.0-46.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-243-107-N.png"",""./GrayNonguns/wallet_5.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-243-107-N.png","wallet_5.png","",""
"","","sequential-priming","50","160594","0.0-3.0-47.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-249-239-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-249-239-N.png","gun_3.png","",""
"","","sequential-priming","51","163509","0.0-3.0-48.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-256-138-N.png"",""./GrayNonguns/cell_5.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-256-138-N.png","cell_5.png","",""
"","","sequential-priming","52","166422","0.0-3.0-49.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-040-022-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-040-022-N.png","wallet_3.png","",""
"","","sequential-priming","53","169339","0.0-3.0-50.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-258-125-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-258-125-N.png","tool_2.png","",""
"","","sequential-priming","54","172254","0.0-3.0-51.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-036-031-N.png"",""./GrayNonguns/keys_1.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-036-031-N.png","keys_1.png","",""
"","","sequential-priming","55","175168","0.0-3.0-52.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-252-224-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-252-224-N.png","gun_16.png","",""
"","","sequential-priming","56","178087","0.0-3.0-53.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-040-022-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-040-022-N.png","gun_11.png","",""
"","","sequential-priming","57","181001","0.0-3.0-54.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-006-002-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-006-002-N.png","cell_3.png","",""
"","","sequential-priming","58","183917","0.0-3.0-55.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-001-0140-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-001-0140-N.png","gun_13.png","",""
"","","sequential-priming","59","186831","0.0-3.0-56.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-011-002-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-011-002-N.png","cell_3.png","",""
"","","sequential-priming","60","189745","0.0-3.0-57.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-212-097-N.png"",""./GrayNonguns/wallet_2.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-212-097-N.png","wallet_2.png","",""
"","","sequential-priming","61","192657","0.0-3.0-58.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-014-002-N*.png"",""./GrayGuns/gun_5.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-014-002-N*.png","gun_5.png","",""
"","","sequential-priming","62","195571","0.0-3.0-59.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-205-007-N.png"",""./GrayNonguns/wallet_2.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-205-007-N.png","wallet_2.png","",""
